,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta,cluster
JCI,2.4687,14.48940738040264,0.01765993433489205,1.3236991344144862,0.1249023515606768,0.029074643556052555,1.27,10
JNPR,1.6371,16.865188442978436,0.03984906286282966,0.9413045281141152,0.6153774836739543,0.026077508149221298,0.2,10
KSU,6.16,18.0762987012987,0.03347184708082277,0.9221067940993144,2.3766123120207645,0.012932195779074987,1.01,1
K,3.86,14.696891191709845,-0.032295271049596314,5.621299500192233,1.7732558139534884,0.03878018684999119,0.71,10
KMB,4.06,29.334975369458128,-1.84304932735426,-65.02242152466367,2.755260835230176,0.03358522250209908,0.44,7
KIM,0.6591,26.900318616294946,0.015748797668605746,1.0432263727726028,0.28858338910167874,0.0631697687535251,0.78,16
KMI,0.66,29.272727272727273,0.01457925054932003,1.3060157966625097,0.7545302739810749,0.03752587991718426,0.97,16
KHC,8.52,4.102112676056339,0.009635237439779766,0.8282021870459586,0.5494370320559606,0.07153075822603719,0.97,19
KR,4.38,6.511415525114155,0.04090433873497125,3.989937271301621,0.6944592431397079,0.01858345021037868,0.73,10
LB,2.73,9.912087912087912,0.03272450532724505,-6.956621004566211,-0.7160381644706951,0.08869179600886919,0.73,10
LLL,9.7888,21.846395881006867,0.03855380397532557,1.3099725839616176,8.894762255711706,0.014963759644610709,1.14,1
LH,8.71,17.07921928817451,0.022649682990504055,1.318931634965717,4.8206144697720505,0.0,1.18,19
LRCX,18.2495,9.820543028576122,0.09834358597480827,0.861649761607285,4.210016186849987,0.021202990737640887,1.45,0
LEG,2.2782,20.138705995961725,0.045784381478921915,1.9215618521078093,1.4507200003067062,0.03269398430688753,1.1,1
LEN,5.2739,9.528053243330364,0.054128320509466255,0.9521099116108146,3.853387093958912,0.0031840796019900496,1.38,19
LLY,3.1044,39.94330627496456,0.11447088628201085,3.3574429985654266,1.3991423770064322,0.018145161290322585,0.48,11
LNC,7.6061,8.257845676496498,0.027804878048780488,19.85965156794425,5.566349102315022,0.021652603088680143,1.87,13
LKQ,1.8212,15.00658906215682,0.02770439173136437,1.3816703371167205,0.6049534416708829,0.0,1.64,10
LMT,17.74,17.31285231116122,0.8988522238163558,31.15279770444763,7.846037874739438,0.026698792042457592,1.28,13
L,1.96,24.382653061224488,-0.008910249486985636,3.0743060805702562,2.0045037086530955,0.0052312199204854574,0.0,1
LOW,4.5,23.61555555555556,0.1164256581386726,5.806266221727847,1.259096066165436,0.016749788275148208,1.46,1
M,5.5312,4.34986982933179,0.010940532909828831,2.5967884242103407,-0.374023878985387,0.0627597672485453,0.34,18
MAR,4.7831,26.936505613514253,0.2078313253012048,9.255163511187607,2.0373464661565968,0.011487115802545793,1.01,16
MMC,3.26,28.38957055214724,0.02017405063291139,1.8452004219409284,2.2003968253968256,0.017504051863857378,0.74,16
MLM,7.46,25.46916890080429,0.019068527736224018,0.9298088338574358,4.21776,0.00968421052631579,0.92,1
MAS,2.41,15.688796680497925,-1.7297297297297298,-47.963963963963955,1.2835619182798912,0.011901613329806928,1.53,7
MA,5.6263,39.69216003412545,0.16663577386468953,3.5905468025949947,1.2689304306672975,0.004836109618484686,1.02,11
MAT,-1.5369,0.0,0.0222554144884242,6.831964152352501,2.040996549336377,0.0,1.74,18
MKC,7.1024,19.11184951565668,0.06748872559841054,2.2309754328424107,3.5251992202474653,0.015323412406070429,0.01,1
MCD,0.0,0.0,-0.2261440623801611,-6.2427457497123875,1.960799574528804,0.02287492493312224,0.4,9
MCK,-1.3056,0.0,0.05106151333696244,5.467392487751769,-0.9227160172031801,0.011103505970035742,1.46,18
MDT,3.65,25.69041095890411,0.025467097473358888,0.7784422725721969,1.5329071528207732,0.020902207529060468,0.57,1
MTD,20.36,33.34135559921415,0.3070621272643769,3.438249814002912,8.008550110909457,0.0,1.47,16
MCHP,1.4,63.60000000000001,0.009532851523899944,2.5177965937493947,2.0319113470538337,0.016340970350404313,1.28,5
MU,12.7964,3.3267168891250662,0.09722755321975847,0.288139596681331,4.290620400517372,0.0,1.28,0
MSFT,4.35,25.510344827586213,0.091394581451893,1.809775529697812,1.1600308125038288,0.015860142380823648,1.03,1
